city,Latitude,Longitude
Bandung,-6.921846,107.607083
Banyuwangi,-8.3325711,114.141579
Bojonegoro,-7.2278714,111.81462
Buleleng,-8.119508372,115.0807598
Candipuro,-8.177502502,113.0300595
Cirebon,-6.7137044,108.5608483
Denpasar,-8.6524973,115.2191175
Gerokgak,-8.2051498,114.7921401
Jakarta,-6.1754049,106.827168
Jember,-8.173944503,113.6974908
Jembrana,-8.3955784,114.7054611
Jepara,-6.593527385,110.6650757
kediri,-7.8111057,112.0046051
Kubu,-8.268711913,115.5814151
Malang,-7.9771308,112.6340265
Pekalongan,-6.8905065,109.6761489
Probolinggo,-7.7441461,113.2158401
Purworkorto,-7.4194,109.2264
Semarang,-6.997,110.4157
Situbondo,-7.6854,113.9938
Surabaya,-7.2498,112.7084
Tasik,-7.3206,108.2161
Yogyakarta,-7.8168,110.4033
